id,claim,evi,label,split
0,Hunter Biden had no experience in Ukraine or in the energy sector when he joined the board of Burisma.,"Did Hunter Biden have any experience in the energy sector at the time he joined the board of the  Burisma energy company in 2014		
No, Hunter bidens previous career history does not include work for energy company's.		

Did Hunter Biden have any experience in Ukraine at the time he joined the board of the  Burisma energy company in 2014		
No, Hunter Bidens previous career history does not include working with Ukrainian company's.		

",Supported,pred
1,Donald Trump delivered the largest tax cuts in American history.,"Did the 2017 tax bill deliver the largest tax cuts in American history?		
This tax cut is the 8th largest as a percent of Gross Domestic Product (GDP) since 1918 and the 4th largest in inflation-adjusted dollars.		

Has there been larger tax bills than the 2017 tax bill?		
Three tax bills have been larger: American Taxpayer Relief Act of 2012 (enacted in 2013); 
Tax Relief, Unemployment Insurance Reauthorization, and Job Creation Act of 2010 and
Economic Recovery Tax Act of 1981		

",Refuted,pred
2,"In Nigeria … in terms of revenue share, 20% goes to the local government.","Kenya’s ex-prime minister Odinga mangles his numbers on government revenue share in Nigeria?		
After months of an often fractious stalemate, in September 2020 Kenya’s senate hammered out a deal on how revenue would be shared  between the country’s two levels of government.

In August, at the height of the deadlock, former prime minister Odinga returned to a familiar talking point to argue for establishing a third tier of government.

Building on this in an interview with Citizen TV, Odinga, who is also an African Union envoy, said Kenya could solve the recurring battle over how to share revenue if it looked to Nigeria for lessons.

Nigeria, he said, had a local, state and federal system of government. “In terms of revenue share, 20% of the revenue goes to the local, 35% goes to the state and 45% goes to the federal governments ... and it works perfectly well,” Odinga said.		

",Supported,pred
3,Biden has pledged to stop border wall construction and give amnesty and health care to all illegal immigrants.,"When Joe Biden participated in an interview with the National Association of Black Journalists and the National Association of Hispanic Journalists, on August 6, 2020 did he say he would tear down the border wall, if he became president?		
No, there will not be another foot of wall constructed on my administration...  I’m going to make sure that we have border protection, but it’s going to be based on making sure that we use high-tech capacity to deal with it and at the ports of entry.		

If Joe Biden became president, what is his intention regarding health care for illegal immigrants?		
According to PolitiFact Fact Checker, a task force recommended that Biden extend Affordable Care Act coverage to immigrants illegally in the country who are protected from deportation under the Deferred Action for Childhood Arrivals program and allowing additional immigrants illegally in the country to also buy health insurance, unsubsidized.
So the task force recommends allowing immigrants here illegally to get access to health care, including Affordable Care Act coverage. But being able to buy health insurance doesn’t amount to getting welfare.		

If Joe Biden became president, what is his intention regarding health care for illegal immigrants?		
On the question asked at the interview with the National Association of Black Journalists and the National Association of Hispanic Journalists, on August 6, 2020 :
Should undocumented immigrants also be able to get subsidized healthcare?
Biden replied:
If they are working in the United States of America and they are paying taxes, they should have access to healthcare.		

What is the common reference for amnesty in modern U.S. politics?		
The Immigration Reform and Control Act of 1986, signed by President Ronald Reagan is the law which paved the way for immigrants who were in the country illegally to become lawful permanent residents if they met certain requirements.		

How has Biden referred to amnesty for undocumented people?		
First thing I’m going to do and I’ve already written, sent to the United States Congress a path to citizenship for 11 million undocumented folks.		

",Supported,pred
4,"After the police shooting of Jacob Blake, Gov. Tony Evers & Lt. Gov. Mandela Barnes did not call for peace or encourage calm.","Did Governor Evers not call for peace after Jacob Blake was shot ?		
Inn a video statement posted the next day, Evers urged people planning to protest to  peacefully.
In a news release later that day, Evers said ""Tonight, and in the days ahead, if you are going to protest, please do so peacefully and safely. Please do not allow the actions of a few distract us from the work we must do together to demand justice, equity, and accountability."" 
This proves that the claim made by Senator Howard Marklein is incorrect that the Gov. did not ask for peace.		

",Refuted,pred
5,"The Common Law Admission Test (CLAT) 2020 will not be conducted on September 7, 2020, as planned","Was the The Common Law Admission Test (CLAT) 2020 postponed?		
No it was a fake notification and an official announcement was made saying:

""Sub: Fake Notification Regarding Postponement of the CLAT 2020 Examination
1. It has come to the attention of the Consortium of National Universities (the
“Consortium”) that a document purporting to be a Notification issued by the
Consortium and announcing the postponement of the CLAT 2020 from its scheduled
date of September 7, 2020 is being circulated on the internet (the “Fake
Notification”).
2. The Consortium hereby categorically states that the Fake Notification has not been
issued by the Consortium. The date of the CLAT 2020 examination, and all other
particulars, in relation to the CLAT 2020 examination remain unaltered.
3. Official Notifications from the Consortium are available at
https://consortiumofnlus.ac.in/
4. You may confirm or clarify any information by writing to
clat@consortiumofnlus.ac.in""		

",Refuted,pred
6,35% of revenue goes to states. (In Nigeria),"What percentage of Nigeria's revenue goes to states		
Revenue is shared in accordance with the vertical formula, as determined by RMAFC and approved by the National Assembly. The formula allocates 52.68%, 26.72% and 20.60% to the Federal, State and Local Governments respectively		

",Refuted,pred
7,Margaret Sanger was a racist who believed in eugenics. Her goal when founding Planned Parenthood was to eradicate minorities.,"What is eugenics?		
Eugenics is the practice or advocacy of improving the human species by selectively mating people with specific desirable hereditary traits. It aims to reduce human suffering by “breeding out” disease, disabilities and so-called undesirable characteristics from the human population		

What were Sangers views on eugenics?		
I think the greatest sin in the world is bringing children into the world -- that have disease from their parents, that have no chance in the world to be a human being practically. Delinquents, prisoners, all sorts of things just marked when they're born. That to me is the greatest sin -- that people can -- can commit		

Was Sanger a racist?		
As her biographer Ellen Chesler told me, she was a progressive who believed in racial integration. She voted for Norman Thomas. She worked with progressive Black people—W.E.B. Du Bois, for example, who along with Mary McCleod Bethune and Adam Clayton Powell Sr. served on the board of the Negro Project, a network of birth control and maternal health clinics Sanger established in Harlem and the South. In 1966, Martin Luther King accepted Planned Parenthood’s first Margaret Sanger Award, and in his statement offered a vigorous endorsement of voluntary birth control.		

Was Sanger a eugenicist?		
Although she did not single out Black people, Sanger was, yes, a eugenicist. She thought people, especially poor people, often had too many kids to care for properly and that too many of those kids were born physically disabled (or in the language of the day, “feeble-minded”). She did not oppose forced sterilization.		

",Conflicting Evidence/Cherrypicking,pred
8,"Joe Biden voted for the Irag War and supported war in Serbia, Syria and Libya.","What resolutions did Biden support in favor of US intervention in Iraq		
He supported the H.J.Res.114 - Authorization for Use of Military Force Against Iraq Resolution of 2002
107th Congress (2001-2002)		

Did Joe Biden support vote for the war in Syria		
Yes, He voted in support of the Serbian war with the Kosovo Resolution		

What was Joe Biden's stand on the US interfering in Libya		
Biden  had ""argued strongly"" within the White House ""against going ... to Libya,"" a stance that put him at odds with Secretary of State Hillary Clinton		

",Conflicting Evidence/Cherrypicking,pred
9,Biden will take away the Second Amendment.,"Has Joe Biden's plan for gun regulation and control infringed on the second amendment		
Biden’s plan to end gun violence says ""It’s within our grasp to end our gun violence epidemic and respect the Second Amendment, which is limited,""		

",Refuted,pred
